date,source,title
2022-02-24,usa-today,"Satellite images, surveillance footage, social media posts show the latest on the war in Ukraine"
2022-02-25,the-times-of-india,"Stuck in Ukraine, K'taka students running out of food"
2022-02-27,usa-today,KSW announces 'ethically justifiable' decision to cancel Russian fighter's bout amid invasion of Ukraine
2022-02-28,cbs-news,Ukrainian refugees flee to neighboring countries
2022-03-02,unknown,Why has the reaction to Putin’s Ukraine invasion been so strong? Part one: the lead-up
2022-03-03,unknown,'Hard not to assume the worst.' SLU soccer player calls father daily in Ukraine
2022-03-05,unknown,'Are We Your Slaves?' Imran Khan Slams West's Demands to Condemn Russia Over Spec Op in Ukraine
2022-03-07,unknown,"Live updates: Zelenskyy thanks US, UK for oil import ban"
2022-03-08,fox-news,Ukraine's 'cellar violinist' plays on as she shelters from bombs
2022-03-10,unknown,[Comment] Meeting the health challenges of displaced populations from Ukraine
2022-03-11,unknown,Russia intensifies strikes around Kyiv as it warns US against arming Ukraine - CNN
2022-03-13,unknown,Marine Corps intelligence officer discusses Russia-Ukraine war
2022-03-15,unknown,Live updates: Ukraine’s military says it hit Kherson airport
2022-03-16,unknown,"US citizen killed in Ukraine while waiting in bread line, family says"
2022-03-18,unknown,Syrians join Russian ranks in Ukraine as Putin calls in Assad's debt (Martin Chulov/The Guardian)
2022-03-19,unknown,"Japan's Kishida, India's Modi Discuss Response to Ukraine Crisis"
2022-03-21,unknown,The Threat of Russian Cyberattacks Looms Large
2022-03-22,unknown,Russia blocks Google News
2022-03-24,unknown,"Near the Ukrainian border, Biden sees refugee crisis in Poland"
2022-03-26,marca,Donation of millions of cryptocurrencies keeps Ukraine on its feet
2022-03-27,unknown,"Ukraine Says 5,000 Dead In ""Catastrophic"" Mariupol Siege"
2022-03-29,unknown,Cracks widen in eurozone economy as war in Ukraine rages on
2022-03-30,unknown,History Should Be Our Guide in Ukraine
2022-04-01,the-washington-post,Russia pulls back from battered Kyiv region in major shift of war to east
2022-04-03,unknown,"Good Afternoon, News: Old-Timey Audits vs. New-Timey Programs, Putin Busted for War Crimes, and US Snatches Another Oligarch Yacht"
2022-04-04,the-washington-post,"As Ukraine war drags on, Pentagon makes long-term plans for Europe"
2022-04-06,unknown,Zelenskyy ‘Florida Villa’ Rumor Goes Viral During War with Russia
2022-04-07,unknown,World cannot look away from Putin’s latest atrocity
2022-04-09,unknown,Ukrainian defenders dig in as Russia boosts firepower
2022-04-10,unknown,"Russia readies for major assault on eastern Ukraine, beginning 'second chapter' of war"
2022-04-12,cbs-news,See how the U.S. is shipping javelins to Ukraine
2022-04-14,bbc-news,The Papers: Rwanda plan 'will fail' and 'SAS train Kyiv forces'
2022-04-15,breitbart-news,Polish Ambassador to U.S.: Zelensky Is ‘The Leader of the Free World Right Now’
2022-04-17,fox-news,"‘A Real Signal That They Can Fight’, Gen. Keith Kellogg On Ukrainian Forces Sinking Russian Warship"
2022-04-18,unknown,German wildlife park renames 'Putin' the boar
2022-04-20,unknown,Live updates | Zelenskyy thanks US for $800M in military aid
2022-04-22,unknown,Ukraine battered again; Zelenskyy says US officials to visit
2022-04-23,unknown,Top U.S. officials meet Volodymyr Zelenskyy in show of solidarity with Ukraine
2022-04-25,unknown,"Russia Cutting Gas To Poland, Bulgaria As Ukraine Tensions Deepen"
2022-04-26,unknown,"Russia coordinating cyberattacks with military strikes in Ukraine, Microsoft says"
2022-04-28,unknown,"Apparently Russia's war on Ukraine is good for business, it nearly doubled its fossil-fuel revenues [Interesting]"
2022-04-30,cbs-news,Evacuation begins of Ukranians trapped at steel mill
2022-05-01,unknown,"EU may offer Hungary, Slovakia exemptions from Russian oil embargo"
2022-05-03,unknown,S&Ds: Ukrainian women fleeing the war must not fall into the hands of traffickers
2022-05-04,unknown,Most Russian Black Sea Fleet warships are back in Sevastopol Bay
2022-05-06,axios,Zelensky outlines Ukraine's peace-talk demands for Russia - Axios
2022-05-07,unknown,'One man's war': U2 rock stars hit Putin in Kyiv bomb shelter
2022-05-09,unknown,Live updates | US senators meet with Ukraine’s ambassador | #cybersecurity | #cyberattack | #cybersecurity | #infosecurity | #hacker
2022-05-11,unknown,U.S. sanctions on Russia hurt Europe much more than Moscow
2022-05-12,unknown,NATO Expansion in Focus as Blinken Travels to Europe for Talks on Russia-Ukraine War
2022-05-14,cbs-news,Bellingcat's path to tracking Russia's invasion of Ukraine
2022-05-15,unknown,S&Ds push for lifting import duties on Ukrainian products as act of solidarity
2022-05-17,unknown,"Ukraine invasion could cause global food crisis, UN warns - BBC"
2022-05-19,unknown,Biden must force feckless WHO to hold Russia accountable for devastating Ukraine’s health facilities
2022-05-20,unknown,"Russia may swop Ukraine prisoners for Putin ally, says negotiator"
2022-05-22,bbc-news,"Russian diplomat resigns, slams Putin’s invasion"
2022-05-23,cbs-news,CBS News crew takes cover from Russian shelling
2022-05-25,unknown,Ukraine's Zelensky complains about EU divisions over new Russia sanctions
2022-05-26,unknown,"Ukrainian PM, German development minister discuss Ukraine's post-conflict recovery"
2022-05-28,unknown,Second charter flight carrying Ukrainians bound for Canada lands in Montreal - Canada News - Castanet.net
2022-05-30,unknown,"The EU Council is neglecting the impact of the Ukraine war for European citizens, says Iratxe García"
2022-05-31,unknown,Soccer great Pelé urges Putin to stop war in Ukraine
2022-06-02,unknown,How World Central Kitchen Makes Millions of Meals in Ukraine
2022-06-03,unknown,Ukraine players gifted flag by soldiers ahead of Wales showdown
2022-06-05,unknown,Russia’s Ancient T-62 Tanks Are On The Move In Ukraine
2022-06-07,unknown,Kremlin Declares “Land Bridge” Complete From Western Russia To Donbas To Crimea
2022-06-08,unknown,Russian Radio Station Hacked to Broadcast Ukrainian National Anthem
2022-06-10,usa-today,Breakdown of $53B aid package to Ukraine
2022-06-11,unknown,Pro-Russian Separatists Uphold Foreigners' Death Sentences
2022-06-13,unknown,Zelensky Says Donbas Battle Will Determine Course Of War
2022-06-15,unknown,"Europe offers Ukraine a hope of joining the EU, but not a vast arsenal"
2022-06-16,unknown,Russian TV shows videos of 2 US vets captured in Ukraine
2022-06-18,unknown,Russia claims Ukrainian generals killed in missile strike — as it happened
2022-06-19,fox-news,Ben Stiller meets with Ukraine President Volodymyr Zelenskyy as a UNHCR Goodwill Ambassador
2022-06-21,unknown,Russia-Ukraine war: Ukraine expects EU-wide support for candidacy to join bloc
2022-06-22,unknown,President Authorizes Another $450 Million Drawdown to Support Ukraine
2022-06-24,unknown,"Zelenskyy says Ukraine will win back lost cities, admits war is tough to bear"
2022-06-26,unknown,At least 16 killed in missile strike on crowded Ukrainian mall
2022-06-27,unknown,Macron says Russia can't win in Ukraine after strike on mall - CTV News
2022-06-29,unknown,"Ukraine drives Russian forces from Snake Island, a setback for Moscow"
2022-06-30,unknown,"Plans to Rebuild Ukraine Should Address Environment, EU Commissioner Says"
2022-07-02,unknown,Russia Claims Control of Luhansk as Ukrainian Forces Retreat From Lysychansk - The Wall Street Journal
2022-07-04,cbc-news,NHL teams weigh risks of selecting Russian prospects as war in Ukraine continues
2022-07-05,unknown,Ukraine’s herculean task: helping millions whose homes are in ruins or Russia’s hands
2022-07-07,unknown,"Jaishankar meets Lavrov, Blinken on sidelines of G-20, talks Ukraine"
2022-07-08,unknown,Ukraine dismisses its ambassador to Germany after controversial remarks
2022-07-10,the-washington-post,Russian strikes kill at least three in Kharkiv and injure dozens
2022-07-11,unknown,White House accuses Iran of gifting 'several hundred' drones to Russia
2022-07-13,unknown,Germany earmarks additional 2.4 billion eur this year for Ukraine refugee relief
2022-07-15,the-washington-times,Cargo plane operated by Ukraine carrier crashes in Greece
2022-07-16,unknown,"Ukraine’s, Moldova’s EU Candidate Status Part of Anti-Russian ‘Gambit’"
2022-07-18,nbc-news,White House says Russia is plotting to annex more Ukrainian territory
2022-07-19,unknown,Ukrainian Refugees Forced to Escape to Enemy Soil in Russia
2022-07-21,unknown,Deal between Ukraine and Russia aims to ease global food crisis
2022-07-23,unknown,Moldova’s Prime Minister Is ‘Very Worried’ About a Potential Russian Invasion
2022-07-24,unknown,"Guatemala’s president visits Ukraine, expresses solidarity"
2022-07-26,unknown,Biden Offers To Exchange Convicted Russian Arms Dealer For The Release Of Brittney Griner
2022-07-27,the-times-of-india,A new bench of traders muscle in to supply Russian oil to India
2022-07-29,unknown,"Russia Invites UN, Red Cross To Probe Jail Deaths Of Ukrainian Prisoners"
2022-07-31,bloomberg,Hope for Ukraine grain exports and Europe sizzles: Supply lines
2022-08-01,cbs-news,Ex-Laker puts NBA championship rings up for auction to help Ukraine
2022-08-03,unknown,"Canada capitulated to ‘blackmail’ by sending gas turbines for Russia’s use, Ukrainian reps tell MPs"
2022-08-04,unknown,Ukrainian soldiers come to Minnesota for prosthetics — and hope
2022-08-06,unknown,"Ukraine power plant shelled again, Zelenskyy rails at Russian 'nuclear terror'"
2022-08-07,unknown,War brings desperation and danger to Ukraine's farmers — and the world feels the pain
2022-08-09,fox-news,"China touts relationship with Russia, accuses US of being 'main instigator of the Ukrainian crisis'"
2022-08-11,unknown,Vessel to collect first humanitarian wheat shipment under Ukraine grain deal
2022-08-12,unknown,Russia blocking access to medicines - Ukraine's health minister
2022-08-14,cbc-news,"Value of frozen Russian assets, transactions rose by less than $1M after 2 more months of sanctions"
2022-08-15,newsweek,Zelensky Reveals Why He Didn't Warn His Citizens of Russian Invasion
2022-08-17,newsweek,Russia's 'Bad Strategy' Leading to Embarrassing Defeats: Admiral Stavridis
2022-08-19,unknown,US Open tennis stars set to raise relief funds for Ukraine
2022-08-20,unknown,Zelensky warns Russia might put Ukraine soldiers on trial as Kyiv marks independence
2022-08-22,the-irish-times,The Irish Times view on the Ukraine war: preparing for a long winter
2022-08-23,time,U.S. Goes in for the Long-Haul With Latest Ukraine War Aid
2022-08-25,unknown,Zelensky calls for ‘international pressure’ to take back Ukrainian nuclear plant
2022-08-26,unknown,"Slovakia's neighbors to patrol its skies, freeing MiG jets for Ukraine"
2022-08-28,unknown,Russia struggles to recruit soldiers for Ukraine: Pentagon
2022-08-30,unknown,"News Wrap: FDA authorizes omicron boosters, inspectors head to Ukraine nuclear plant"
2022-08-31,unknown,[Correspondence] Conflict-related sexual violence in Ukraine: insight from the field
2022-09-02,next-big-future,Ukraine Needs to Take Kherson by end of October
2022-09-03,unknown,"Zelenskiy says Ukraine takes three settlements in south, east"
2022-09-05,unknown,"Russia sanctions 25 more Americans, including Sean Penn, Ben Stiller"
2022-09-07,unknown,Russia and US clash over Western weapons for Ukraine
2022-09-08,unknown,"Russian Army suffered heavy losses, Ukrainian Army recaptured more than 1,000 sq km of land & 20 Villages"
2022-09-10,unknown,Russia weaponizes nuclear plant
2022-09-11,unknown,"Ukraine reclaims more territory, reports capturing many POWs"
2022-09-13,cbs-news,Zelenskyy makes surprise visit to recaptured towns
2022-09-15,unknown,"Friday, September 16. Russia’s War On Ukraine: News And Information From Ukraine"
2022-09-16,cbs-news,EU head calls for war crimes tribunal over mass graves in Ukraine
2022-09-18,unknown,Russian pop star's war criticism stirs vigorous debate
2022-09-19,unknown,"At UN, Spotlight on Global Consequences of Russia’s War"
2022-09-21,unknown,N.Korea Denies Selling Weapons to Russia
2022-09-22,bbc-news,Undercover with Russia’s fake arms dealers
2022-09-24,unknown,"Lyman, A Supply Hub In Eastern Ukraine, Is The Last Place A Russian Soldier Wants To Be Right Now"
2022-09-26,unknown,"Trump warns of possible World War III over Ukraine, Taiwan"
2022-09-27,unknown,The U.S. and Europe are running out of weapons to send to Ukraine
2022-09-29,unknown,Ukraine - Four Oblasts Join Russia
2022-09-30,unknown,"German Defense Minister Visits Odesa, Promises Delivery Of Air-Defense System"
2022-10-02,unknown,Superyacht linked to sanctioned Russian billionaire on sale for $41m
2022-10-04,unknown,Should the West seek an off-ramp in Ukraine?
2022-10-05,unknown,Ukraine regains 150 miles of land in expanding counteroffensive; Russia blames NATO for nuclear rhetoric: Live updates - USA TODAY
2022-10-07,unknown,IAEA says creating a nuclear safety zone around Ukrainian power plant is 'urgent imperative' - Insider
2022-10-08,unknown,"Putin Blames Ukraine For Crimea Bridge Blast, Calls It A ""Terrorist Act"""
2022-10-10,business-insider,Russia is scraping the bottom of the manpower barrel in order to hold off Ukraine's advance
2022-10-11,unknown,"SHOCKER: 90,000 'Irrecoverable' Russian Losses in Ukraine"
2022-10-13,unknown,Elon Musk: SpaceX can't fund Ukraine's vital Starlink internet indefinitely
2022-10-15,rt,Losing is not an option for Putin – ex-Austrian leader
2022-10-16,unknown,Exxon fully withdraws from Russia after Putin seizes assets
2022-10-18,unknown,Russians who fled to avoid fighting in Ukraine reflect on their new lives
2022-10-19,unknown,"Iranian trainers on the ground helped Russia with Ukraine drone attacks, U.S. says"
2022-10-21,unknown,Ukraine plane engine builder head held on treason charges – media
2022-10-23,unknown,Ukraine’s ‘Marshall Plan’ – Berlin gathering weighs $750 billion rebuilding
2022-10-24,unknown,"Three inquiries, but no answers to who blew holes in Nord Stream pipelines"
2022-10-26,fox-news,Putin accuses US of escalating tensions
2022-10-27,unknown,Russia's Putin says he won't use nuclear weapons in Ukraine - KSL.com
2022-10-29,unknown,'Weaponizing food': Outrage grows over Russia's suspension of grain deal with Ukraine. Live updates. - USA TODAY
2022-10-31,unknown,Pentagon says U.S. troops on the ground in Ukraine
2022-11-01,unknown,"Wednesday, November 2. Russia’s War On Ukraine: News And Information From Ukraine"
2022-11-03,unknown,China opposes Russia using nuclear weapons against Ukraine
2022-11-04,unknown,"Iran admits sending drones to Russia, but Kyiv says Tehran is still lying"
2022-11-06,the-washington-post,Russia's heavy casualties in Ukraine spark outcry and rare official response
2022-11-07,unknown,"1,300 of Ukrainian military's SpaceX Starlink terminals went offline due to funding shortfall: report"
2022-11-09,unknown,"Ukrainian forces cautiously advance into Kherson, fearing a trap as Russian troops retreat"
2022-11-11,cbc-news,Banksy unveils mural in war-scarred Ukrainian town
2022-11-12,rt,Scholz hopes Putin will change his mind on attending G20
2022-11-14,unknown,"White House requests $37.7 billion in new Ukraine funding, $10 billion for Covid relief"
2022-11-15,unknown,West criticizes Russia at U.N. for Ukraine war after missile crash in Poland
2022-11-17,unknown,Putin’s ‘Hunky-Dory’ Act Flops as Frantic Russians Flee Crimea
2022-11-19,unknown,Explosions Shake Ukraine's Zaporizhzhia Nuclear Power Plant
2022-11-20,unknown,Iran And Russia Reportedly Ink Drone Production Deal For Ukraine War
2022-11-22,unknown,"Russia Says It Has Faith In ""Success"" Of Ukraine Offensive"
2022-11-23,unknown,Europe has labelled Russia a state sponsor of terror. What next? - Al Jazeera English
2022-11-25,abc-news-au,Why the West's 'weak' response to a forgotten war 'emboldened' Putin in Ukraine
2022-11-26,unknown,Putin’s war empties arsenal of 20 NATO nations after U.S.
2022-11-28,unknown,Ukraine urges Nato to speed up weapons deliveries following Russian strikes on energy grid
2022-11-30,unknown,Biden Willing to Talk to Putin About Ukraine
2022-12-01,unknown,Group try to steal Banksy mural from wall in battle-scarred Ukrainian town
2022-12-03,unknown,U.S. intel chief thinking 'optimistically' for Ukraine forces
2022-12-04,the-washington-post,Explosions hit two bases in Russia as Moscow fires new missile barrage
2022-12-06,unknown,Zelenskyy predicts ‘peacetime’ next year as Putin warns war will be ‘long process’
2022-12-08,unknown,Commentary: Four fronts in Ukraine-Russia war to look out for as winter bites
2022-12-09,unknown,Turkey oil tanker logjam snarls Russia oil sanctions
2022-12-11,unknown,Ukraine again presses West for advanced weapons
2022-12-12,unknown,U.S. Eyes Giving Ukraine Patriot Missile Defense Systems
2022-12-14,unknown,Exploding Gift From Ukraine Injures Poland's Police Chief
2022-12-16,unknown,Russia launches another widespread missile attack on Ukraine - Al Jazeera English
2022-12-17,the-washington-post,Pussy Riot Has Been Sounding The Alarm About Putin For More Than A Decade
2022-12-19,unknown,Zelensky Planning Surprise D.C. Visit To Address Congress
2022-12-20,cbs-news,Special Report: Biden and Zelenskyy hold joint press conference on war in Ukraine
2022-12-22,unknown,Bosnian Children Send Gifts to Ukrainian Children
2022-12-23,unknown,"Associated Press: Shells pummel Ukraine’s Kherson; 10 dead, 55 wounded"
2022-12-25,unknown,Ukraine’s Zelenskiy: Situation at the front is “difficult and painful”
2022-12-27,unknown,News Wrap: Zelenskyy tells Ukrainians their resistance to Russia inspires the world
2022-12-28,unknown,Russia 'Struggling to Counter Air Threats' on Its Own Territory: U.K
2022-12-30,unknown,"BREAKING: Explosions reported in Kursk, Belgorod, Voronezh and Rostov moments ago."
2022-12-31,al-jazeera-english,Renewed Russian attacks mark Ukraine’s grim start to 2023
2023-01-02,cbc-news,Hiring agency for displaced Ukrainians born from Manitoba businessman's staffing needs
2023-01-04,unknown,Russian war crimes must be judged
2023-01-05,unknown,Vladimir Putin Orders Children As Young As Four To March In Military Uniforms In Desperate Bid To Drum Up Support For Ukraine War
2023-01-07,unknown,Ukraine rejects Russian claim of devastating 'retaliatory strike'
2023-01-08,unknown,Russia launches criminal probes of prominent Kremlin critics
2023-01-10,fortune,Falling Russian fossil fuel revenues could deal a lethal blow to Putin's war machine
2023-01-11,unknown,War in Ukraine: Now for the good news ...
2023-01-13,unknown,"Wave of Russian attacks target Ukraine civilians, power grid"
2023-01-15,unknown,Secretary-General Strongly Condemns Lethal Missile Attack on Ukraine Residences
2023-01-16,unknown,Russia’s commissioner denies talks on large prisoner exchange with Ukraine
2023-01-18,unknown,U.S. announces $2.5 billion in military assistance for Ukraine
2023-01-19,bbc-news,No German tanks for Ukraine
2023-01-21,rt,NATO nation denies involvement in Crimean Bridge attack
2023-01-23,unknown,"US and Germany set to send tanks to Ukraine, breaking deadlock"
2023-01-24,unknown,"Putin is losing the war in Ukraine, but winning the battle at home"
2023-01-26,unknown,"Friday, January 27. Russia’s War On Ukraine: Daily News And Information From Ukraine"
2023-01-27,unknown,"Saturday, January 28. Russia’s War On Ukraine: Daily News And Information From Ukraine"
2023-01-29,unknown,Biden rejects Zelensky's pleas for coveted F-16 fighter jets
2023-01-31,rt,Erdogan comments on tanks for Ukraine
2023-02-01,unknown,"Germany approves Leopard 1 delivery to Ukraine, in talks with Qatar over Gepards -newspaper | Health"
2023-02-03,unknown,"Ukraine, Russia swap prisoners"
2023-02-04,unknown,"Ukraine to replace defence minister after corruption scandals, says senior MP"
2023-02-06,unknown,Ukraine Could Get 237 Leopard 1A5 Tanks
2023-02-07,unknown,"Ukraine's Zelenskyy tells France, Germany to provide 'game changing' weapons"
2023-02-09,bloomberg,Ukraine Credit Rating Cut by Moody's on 'Likely' Restructuring
2023-02-11,unknown,What Are Gepard Panzers? German Anti-Aircraft Tanks Sent to Ukraine (confirmed drone killers)
2023-02-12,unknown,NATO Chief Urges Faster Ammunition Production for Ukraine
2023-02-14,unknown,"Ukraine war shows urgency of military AI, Palantir CEO says"
2023-02-15,unknown,Biden's war crime against Russia … and Germany!
2023-02-17,unknown,US: Russia has committed crimes against humanity in Ukraine
2023-02-19,unknown,Biden shows solidarity with Ukraine in surprise visit ahead of invasion anniversary
2023-02-20,unknown,China president to visit Putin as Russia's war in Ukraine rages on
2023-02-22,unknown,China Reportedly Negotiating with Russia To Supply Kamikaze Drones
2023-02-23,unknown,Zelenskyy supports China's new stance on Ukraine
2023-02-25,breitbart-news,Treasury Secretary Janet Yellen Says U.S. Will Provide $10B to Ukraine in 'Coming Months'
2023-02-26,unknown,Video shows Russian T-72 drive into minefield littered with abandoned tanks
2023-02-28,unknown,Marjorie Taylor Greene and Mike Lee spread anti-Ukraine disinformation with edited video
2023-03-02,unknown,"The BTR-50P Was The Soviet Army’s Main Fighting Vehicle ... In 1954. Now It’s Back, Replacing Russian Losses In Ukraine."
2023-03-03,unknown,Civilians flee embattled town as Ukrainian pullout looms
2023-03-05,unknown,Zelenskyy vows not to retreat from Ukrainian city of Bakhmut
2023-03-06,unknown,Ukraine heads into season of advantage over Russia
2023-03-08,bbc-news,UN: Russian shelling near Ukraine nuclear plant risks 'disaster'
2023-03-10,unknown,"Russian shelling kills Kherson residents, Zelenskyy denounces 'terrorist attacks'"
2023-03-11,unknown,"Swiss President Defends Neutrality, Ukraine Arms Ban"
2023-03-13,unknown,Moscow Ramps Up Pressure on Radio Free Europe/Radio Liberty
2023-03-14,unknown,Is Bakhmut a sign Putin's learning from his military mistakes?
2023-03-16,the-hill,Biden: International Criminal Court ‘justified’ in issuing arrest warrant for Putin
2023-03-18,unknown,"Ahead Of Xi Jinping's Visit, Putin Thanks China For Its Ukraine Stance"
2023-03-19,unknown,EU gives Ukraine €2bn of ammunition after shell plea - BBC
2023-03-21,rt,Cost of Ukraine reconstruction revealed
2023-03-22,unknown,Ukrainian Patriot Air Defense Crew Finishes Training Ahead of Schedule
2023-03-24,unknown,Religious leaders gather in Jamaica Plain for prayer service for Ukraine
2023-03-25,unknown,"Ukraine's Avdiivka becoming 'post-apocalyptic', city shuts down -official"
2023-03-27,unknown,Ukraine Made Exactly One Oddball Kevlar-E Fighting Vehicle. It’s Been Fighting Around Kharkiv For A Year.
2023-03-29,unknown,U.S. says Russia seeks arms-for-food deal with North Korea
2023-03-30,unknown,Bucha residents light candles to mark recapture anniversary
2023-04-01,unknown,The children’s rights advocate accused of Russian war crimes
2023-04-02,unknown,"""Attempt To Drive Wedge Between Beijing, Moscow"": Russia Hits Out At West"
2023-04-04,unknown,"Russia Launches Thermobaric Rockets, Ukraine Flings A Line-Charge—And Bakhmut Explodes"
2023-04-06,unknown,Kiev Planning Provocation in Sumy Region to Accuse Russia of Using Poisonous Substances - Moscow
