text,escalation_score_haiku,escalation_score_sonnet,escalation_score_opus,score_variance
"I found John Bolton to be one of the dumbest people in Government but, I am proud to say, I used him well. A total &amp; unhinged WARMONGER, the red faced “boiler ready to explode” was one of those very stupid voices that got us into the Middle East quicksand. Seven Trillion Dollars, &amp; Millions of deaths later, NOTHING! The good news is that I won big negotiations with this moron by my side. When I brought him into a room with hostile foreign leaders, they thought I was going to war, CONCEEDED ALL!",6.0,3.0,2.0,4.333333333333334
RT: https://truthsocial.com/users/realDonaldTrump/statuses/109009712511776140Am so looking forward to beginning the battle. MAKE AMERICA GREAT AGAIN!!!,6.0,2.0,0.0,9.333333333333334
"Can you imagine that I am constantly under investigation for “bullshit,” while Hunter Biden, whose Crimes are MANY, DEEP, fully documented on his Laptop from Hell (and elsewhere!), and often times directly involve his father, Joe, “the Big Guy,” sits back and doesn’t have a care in the World. The U.S. Attorney in Delaware has been told to do NOTHING, other than make a “sweetheart” deal, if even that. There are two sets of “Justice” in the now Communist USA. Our Country is going to HELL!!!",2.0,4.0,0.0,4.0
"Another, “I told you sooo.” The Stock Market is now, on top of everything else, CRASHING!!! One of the worst seven days in history, one of the worst years in history - and it will only get worse. Wasteful Green New Deal, and other, SPENDING! Interest rates will have to go way up in order to combat record INFLATION. The Fed no longer has a choice. This was all self inflicted, no rhyme or reason. See what difference a Rigged Election can make? Like much else (Ukraine), should never have happened!!",4.0,2.0,0.0,4.0
RT: https://truthsocial.com/users/LouCozzolino/statuses/108957961490912871This is an invasion of our Country!,4.0,2.0,0.0,4.0
"If you look at the words and meaning of the awkward and angry Biden speech tonight, he threatened America, including with the possible use of military force. He must be insane, or suffering from late stage dementia!",6.0,2.0,8.0,9.333333333333332
"Same thing’s going to happen in Wyoming to Virginia “resident” Liz Cheney, that happened in South Carolina to Congressman “Impeach Master” Tom Rice, who lost as an incumbent by 28 points! To me she is nothing less than a war criminal who has done a TERRIBLE job for the Great State of Wyoming!",4.0,0.0,2.0,4.0
"@PeteHegseth: ""Politics has nothing to do with the battlefield which is why President Trump has asked me to say let's make sure all of that comes out. This is about warfighting capability, setting standards high, and making sure we give our men and women everything they need to be successful on the battlefield.""",4.0,2.0,0.0,4.0
"@PeteHegseth: ""Every General or Flag Officer [will be] selected for leadership or promotion purely based on performance, readiness, and merit. Leaders at all levels will be held accountable. Warfighting and lethality and the readiness of the troops and their families will be our only focus.""",4.0,2.0,0.0,4.0
"As Defense Secretary, @PeteHegseth will:— Restore the Warrior Ethos to the Pentagon and throughout our fighting force.— Rebuild our Military, always matching threats to capabilities.— Re-establish Deterrence.",5.0,4.0,0.0,7.0
"Sen. Roger Wicker: ""[Pete Hegseth] will inject a new warrior ethos into the Pentagon, a spirit that can cascade from the top down. Mr. Hegseth will bring energy and fresh ideas to shake up the bureaucracy. He will focus relentlessly on the war fighter and the military's core missions.""",4.0,2.0,0.0,4.0
"Scoop: Hegseth opening statement pledges Pentagon ""warrior ethos""https://www.axios.com/2025/01/14/pete-hegseth-pentagon-confirmation-opening-statement",6.0,1.0,2.0,7.0
"RT @realDonaldTrumpMany people in Canada LOVE being the 51st State. The United States can no longer suffer the massive Trade Deficits and Subsidies that Canada needs to stay afloat. Justin Trudeau knew this, and resigned. If Canada merged with the U.S., there would be no Tariffs, taxes would go way down, and they would be TOTALLY SECURE from the threat of the Russian and Chinese Ships that are constantly surrounding them. Together, what a great Nation it would be!!!",3.0,2.0,8.0,10.333333333333332
"RT @realDonaldTrump…Michael Duffey will serve as the next Under Secretary of Defense for Acquisition &amp; Sustainment. Mike has been a strong advocate for our Warfighters and the American Taxpayer throughout his many years of public service, including in the Department of Defense, and the Office of Management and Budget of my First Administration. Mike will drive change at the Pentagon and, as a staunch proponent of an America First approach to our National Defense, will work to revitalize our Defense Industrial Base, and rebuild our Military.  Emil Michael will serve as the Undersecretary of Defense for Research and Engineering. Emil has lived the American Dream by building several successful Tech companies, including Uber. He served as a Special Assistant to the Secretary of Defense when he was a White House Fellow. Emil will ensure that our Military has the most technologically sophisticated weapons in the World, while saving A LOT of money for our Taxpayers. Emil is a graduate of Harvard University, and has a Law degree from Stanford. He is a one of the most respected leaders in the Tech business, and will be a champion for the Troops, and our Great Country….",4.0,2.0,0.0,4.0
"Senator Ron Johnson on Incoming Defense Secretary @PeteHegseth: ""I think he's a great pick because he's a warfighter. He will bring credibility. I think he's going to help attract and recruit young men and women who want to come and be patriotic.""",4.0,2.0,0.0,4.0
"Senator Ted Cruz: I've met with @PeteHegseth twice... If you look at his background, he's a decorated combat veteran. He has spent virtually his entire adult life as a campion and advocate for the military, for veterans. And I think he has a very clear-eyed focus on moving the Department of Defense back to its core mission of supporting the warfighter.",4.0,0.0,0.0,5.333333333333334
"America's future Secretary of Defense @PeteHegseth: ""Return the Pentagon to the warfighters. Get in there and clean out all the social justice, politically correct garbage on top, and get back to lethality, war-fighting, accountability, meritocracy, and readiness... Address the recruiting crisis, address the retention crisis.""",6.0,2.0,0.0,9.333333333333334
"RT @realDonaldTrumpAssad is gone. He has fled his country. His protector, Russia, Russia, Russia, led by Vladimir Putin, was not interested in protecting him any longer. There was no reason for Russia to be there in the first place. They lost all interest in Syria because of Ukraine, where close to 600,000 Russian soldiers lay wounded or dead, in a war that should never have started, and could go on forever. Russia and Iran are in a weakened state right now, one because of Ukraine and a bad economy, the other because of Israel and its fighting success. Likewise, Zelenskyy and Ukraine would like to make a deal and stop the madness. They have ridiculously lost 400,000 soldiers, and many more civilians. There should be an immediate ceasefire and negotiations should begin. Too many lives are being so needlessly wasted, too many families destroyed, and if it keeps going, it can turn into something much bigger, and far worse. I know Vladimir well. This is his time to act. China can help. The World is waiting!",4.0,2.0,7.0,6.333333333333333
"RT @realDonaldTrumpOpposition fighters in Syria, in an unprecedented move, have totally taken over numerous cities, in a highly coordinated offensive, and are now on the outskirts of Damascus, obviously preparing to make a very big move toward taking out Assad. Russia, because they are so tied up in Ukraine, and with the loss there of over 600,000 soldiers, seems incapable of stopping this literal march through Syria, a country they have protected for years. This is where former President Obama refused to honor his commitment of protecting the RED LINE IN THE SAND, and all hell broke out, with Russia stepping in. But now they are, like possibly Assad himself, being forced out, and it may actually be the best thing that can happen to them. There was never much of a benefit in Syria for Russia, other than to make Obama look really stupid. In any event, Syria is a mess, but is not our friend, &amp; THE UNITED STATES SHOULD HAVE NOTHING TO DO WITH IT. THIS IS NOT OUR FIGHT. LET IT PLAY OUT. DO NOT GET INVOLVED!",6.0,2.0,3.0,4.333333333333334
"Senator Rick Scott: ""I just had a great meeting with @PeteHegseth, the next Secretary of Defense. I'll tell you why I support him: I admire people who are willing to put on the uniform and lead troops into battle... When he goes in the Department of Defense, he will walk in with the mentality that he's going to take care of our warfighters.""",4.0,0.0,0.0,5.333333333333334
"The next Secretary of Defense, Pete Hegseth: “I spoke to the President-elect this morning. He said keep going, keep fighting…Why would I back down? I’ve always been a fighter. I’m here for the warfighters. This is personal &amp; passionate for me.” 🔥",7.0,2.0,0.0,13.0
"Senator Bill Hagerty: Kash Patel does have relevant experience, particularly when it comes to the mandate of turning these agencies around that have become completely corrupted — and I look forward to seeing him take the FBI apart.",4.0,2.0,0.0,4.0
"RT @realDonaldTrumpI am honored to announce that I have nominated Pete Hegseth to serve in my Cabinet as The Secretary of Defense. Pete has spent his entire life as a Warrior for the Troops, and for the Country. Pete is tough, smart and a true believer in America First. With Pete at the helm, America's enemies are on notice - Our Military will be Great Again, and America will Never Back Down…",4.0,3.0,0.0,4.333333333333334
"@DonaldJTrumpJr: ""If everyone gets out tomorrow and votes — if everyone brings their friends, we can win this things and we can win it outright tomorrow... You can have cheap groceries and affordable housing again, or you can have World War 3...""",4.0,8.0,9.0,7.0
"RT @realDonaldTrumpWe are building the biggest and broadest coalition in American Political History. This includes record-breaking numbers of Arab and Muslim Voters in Michigan who want PEACE. They know Kamala and her warmonger Cabinet will invade the Middle East, get millions of Muslims killed, and start World War III. VOTE TRUMP, AND BRING BACK PEACE! https://swampthevoteusa.com/",4.0,8.0,8.0,5.333333333333333
"PRESIDENT TRUMP: ""If Kamala can't handle an interview with Joe Rogan, then she can't handle the presidency. She certainly can't handle Putin or President Xi. She will get overwhelmed, melt down, and millions of people will die. This is not a charity event—this is an election for the biggest and toughest job anywhere in the world.""",4.0,2.0,7.0,6.333333333333333
"RT: https://truthsocial.com/users/TeamTrump/statuses/113407824953105849Do you want your kids sent to die in endless foreign wars by D.C. politicians who stand to gain from it? No — and President Trump doesn't either. He's the PRESIDENT OF PEACE.The morons at @KamalaHQ and in the Fake News struggle with comprehension, so here's the transcript:""She's a radical war hawk. Let's put her with a rifle standing there with nine barrels shooting at her, okay? Let's see how she feels about it, you know, when the guns are trained on her face. You know, they're all war hawks when they're sitting in Washington in a nice building saying, 'Oh, gee, we'll— let's send, let's send 10,000 troops right into the mouth of the enemy. But she's a stupid person.""",6.0,3.0,2.0,4.333333333333334
"Tim Walz defends their association with loser War Hawk Liz Cheney, a leading pick for a Kamala cabinet who would lead us straight to World War III",6.0,8.0,2.0,9.333333333333332
"PRESIDENT TRUMP: ""We are running against the most radical, most incompetent, most unfit Vice President in history. No one respects her. No one trusts her. No one takes her seriously. Something is clearly wrong with her. She can’t put two sentences together. She is an international joke and is going to end up getting us into a Third World War.""",4.0,8.0,9.0,7.0
RT @realDonaldTrump“MYSTERY DRONES SWARMED A U.S. MILITARY BASE FOR 17 DAYS. THE PENTAGON IS STUMPED”,6.0,3.0,2.0,4.333333333333334
"Yahya Sinwar — the Hamas leader responsible for the worst attack on Jews since the Holocaust — was killed by Israeli forces today in Rafah.In March, Kamala said an Israeli offensive in Rafah would be a ""huge mistake"" because she ""studied the maps.""",6.0,3.0,,4.5
"PRESIDENT TRUMP on China's aggression toward Taiwan: ""The reason they're doing it now is because they're not going to do it afterwards."" 🔥",6.0,4.0,0.0,9.333333333333334
"RT @realDonaldTrumpWe will send elite squads of ICE, border patrol, and federal law enforcement officers to hunt down, arrest, and deport every last illegal alien gang member, until there is not a single one left. If they come back, it’s an automatic ten years in jail with no possibility of parole—and I am hereby calling for the death penalty for any migrant that kills an American citizen or a law enforcement officer.  We will close the border. We will stop the invasion of illegals into our Country. We will defend our territory. We will not be conquered. We will reclaim our sovereignty—and Colorado will vote for Trump as a protest and signal to the world that we are not going to take it anymore. I will liberate Colorado. I will give you back your freedom and your life!",6.0,0.0,,18.0
"PRESIDENT TRUMP: ""We will implement further protections for critical industries that are fundamental to our national interest. Those include, above all, steel and the car industry -- We can’t fight a war if we can’t make cars, trucks, engines, transmissions, and drivetrains.""",4.0,4.0,0.0,5.333333333333334
"PRESIDENT TRUMP: As you know, Hamas has now been severely degraded, and Hezbollah has recently been dealt crippling blows. With strength and the right leadership, the dawn of a new, more harmonious Middle East is finally within our reach.So here is my commitment to you on this solemn date: I will not allow the Jewish state to be threatened with destruction. I will not allow another Holocaust of the Jewish people. I will not allow a jihad to be waged on America or our allies. And I will support Israel’s right to win its war on terror—and win it fast.",6.0,4.0,0.0,9.333333333333334
"@JDVance1: ""We stand with Israel today and unequivocally condemn anti-Semitism whether it's in Israel, the Middle East, or in our own country. Because we want peace more than anything else -- we support Israel's right to exist, defend itself, and do what it takes to end the war.""",5.0,0.0,,12.5
"PRESIDENT TRUMP: ""Together, we will deliver low taxes, low regulations, low energy costs, low interest rates, and low inflation so that everyone can afford groceries, a nice car, and a home. We will stop the invasion, we will end migrant crime, we will strengthen our military, we will build a missile defense shield. We will keep Critical Race Theory and transgender insanity out of our schools, and keep men out of women’s sports. We will defend the Second Amendment, protect religious liberty, restore free speech, and we will secure our elections. Everyone will prosper. Every family will thrive. And every day will be filled with opportunity and hope. But for that to happen, we must defeat Kamala Harris—and we must stop her country-destroying radical-left agenda once and for all. We want a landslide that is TOO BIG TO RIG!""",3.0,0.0,4.0,4.333333333333334
"PRESIDENT TRUMP: ""On Day One of my new administration, the INVASION of savage criminals ENDS, and on that same day, the largest deportation in our history begins.""",6.0,0.0,0.0,12.0
"WE WILL SEAL THE BORDER, END THE INVASION, AND CARRY OUT THE LARGEST DEPORTATION OPERATION IN AMERICAN HISTORY!",6.0,0.0,0.0,12.0
FLASHBACK: U.S. officials warn Border Patrol agents to watch out for improvised explosive devices (IEDs) in an internal memo.The U.S. southern border has become a WAR ZONE under Kamala Harris's watch.,4.0,0.0,3.0,4.333333333333334
"President Trump's plan to secure our border:- Stop all migrant flights- Shut down all entries through the migrant phone app- End catch-and-release- Restore Remain in Mexico- Bring back Title 42- Send in federal law enforcement to liberate Aurora, Colorado- Send Congress a bill to ban Sanctuary Cities- Seal the border- Stop the invasion- Begin the largest deportation operation in the history of our country",4.0,0.0,,8.0
President Trump on funding deportations: I'll take it out of our defense budget because this is an INVASION!,4.0,0.0,0.0,5.333333333333334
"PRESIDENT TRUMP: ""A vote for Comrade Kamala Harris is a vote for war with Russia -- It is also a vote to bring back the draft --Russia would have never attacked Ukraine and didn't for four years.""",6.0,4.0,8.0,4.0
"President Trump will STOP the invasion, SHUT DOWN sanctuary cities, and carry out the LARGEST DEPORTATION OPERATION in American history!",4.0,2.0,0.0,4.0
"RT @realDonaldTrumpThis Election is about the ECONOMY, INFLATION, OPEN BORDERS (ILLEGAL IMMIGRATION), RESPECT FOR OUR NATION, PREVENTING WORLD WAR lll AND A 1929 STYLE DEPRESSION…",6.0,8.0,0.0,17.333333333333336
"FLASHBACK: Kamala Harris last March warned Israel not to conduct a military operation in Rafah.""I have studied the maps.”Over the weekend, the bodies of six hostages were recovered from Rafah, including American citizen Hersh Goldberg-Polin.",4.0,2.0,0.0,4.0
"RT @realDonaldTrumpIn an effort to resurrect a “dead” Witch Hunt in Washington, D.C., in an act of desperation, and in order to save face, the illegally appointed “Special Counsel” Deranged Jack Smith, has brought a ridiculous new Indictment against me, which has all the problems of the old Indictment, and should be dismissed IMMEDIATELY. His Florida Document Hoax Case has been completely dismissed. This is merely an attempt to INTERFERE WITH THE ELECTION, and distract the American People from the catastrophes Kamala Harris has inflicted on our Nation, like the Border Invasion, Migrant Crime, Rampant Inflation, the threat of World War III, and more….",,3.0,0.0,4.5
"PRESIDENT TRUMP: ""Three years ago, Kamala's and Biden's incompetence left 13 dead warriors, hundreds of civilians killed and grievously wounded, and $85 billion worth of the finest military equipment on the planet abandoned to the Taliban.""",4.0,2.0,0.0,4.0
"Together, we will deliver low taxes, low regulations, low energy costs, low interest rates, and low inflation so that everyone can afford groceries, a car, and a home. We will stop the invasion, end migrant crime, support our police, strengthen our military, build a missile defense shield, keep Critical Race Theory and transgender insanity out of our schools, and keep men out of women’s sports. We will defend the Second Amendment, restore free speech, and we will secure our elections.Everyone will prosper. Every family will thrive. And every day will be filled with opportunity, hope, and joy. But for that to happen, we must never let Kamala Harris get anywhere near the White House—and we must defeat her country-destroying liberal agenda once and for all. So get your friends, get your family, register, volunteer, and get out and VOTE!On November 5th, we will save our economy. We will rescue our Middle Class. We will put AMERICA FIRST—and we will Make America Great Again!",4.0,4.0,0.0,5.333333333333334
"PRESIDENT TRUMP:I told Putin, ""Don't do it!"" — and I told him what I'd do if he did.He said, ""No way.""I said, ""WAY.""🔥🔥🔥#TrumpOnX",6.0,4.0,8.0,4.0
"PRESIDENT TRUMP: Unlike liberal Kamala, I will support Israel’s right to win its war on terror.And instead of pandering to jihad-sympathizers and America-hating radicals, I will DEPORT THEM.",4.0,3.0,0.0,4.333333333333334
MARIA: Do you think there are after-effects [of the assassination attempt?]@RonnyJacksonTX: I don't think so - he's a unique individual. I have never ever been prouder of my president than we he stood up with blood all over his face and raised his fist in defiance. That was his warrior spirit from deep down inside. He's a warrior. He will not be deterred.,6.0,0.0,0.0,12.0
"Now, we go forward as ONE MOVEMENT—more united and determined than ever before! We will never stop working to deliver a magnificent future for our people—and together, we will FIGHT, FIGHT, FIGHT, and we will WIN, WIN, WIN!",4.0,0.0,0.0,5.333333333333334
Vice Presidential Candidate @JDVance1: Joe Biden has made it harder and harder for Israel to win the war against Hamas.#RNCinMKE,4.0,3.0,0.0,4.333333333333334
"""Foreign policy has never been [President Trump's] strong point,"" says Biden — who has brought us to the brink of another world war after President Trump's four years of PEACE",6.0,4.0,8.0,4.0
"PRESIDENT TRUMP: If I was president, the war in Ukraine would never have happened, the October 7th attack on Israel would never have happened, and Russian nuclear submarines would not be circling Cuba 60 miles off our coasts.",6.0,3.0,8.0,6.333333333333333
"Debbie Douglas's family ranch in Edwards County, Texas has come under siege from the cartels and illegal aliens. Debbie has been forced to install steel shutters, steel screens, and reinforced door frames all over her home, including on her 8-year-old granddaughter’s bedroom window.Joe Biden has heartlessly betrayed his solemn duty to Americans like Debbie, and he has sided with the cartels.",4.0,2.0,0.0,4.0
RT @realDonaldTrumpCROOKED JOE BIDEN’S INVASION! https://www.DonaldJTrump.com,4.0,2.0,0.0,4.0
"🇺🇸Our brave warfighters executed counterterrorism airstrikes, killing dozens of ISIS jihadis hiding in a cave complex in Somalia.We continue to mop up the mess left by Biden. For years, terrorists killed Americans with impunity. Now, they are the prey—and we are the hunters.",4.0,0.0,,8.0
